DATE,DAXRNSA
2000-01-01,100.00
2000-02-01,101.82326
2000-03-01,102.03669000000001
2000-04-01,103.20051
2000-05-01,104.1144
2000-06-01,104.2777
2000-07-01,104.66346
2000-08-01,105.0381
2000-09-01,105.73048999999999
2000-10-01,105.69277
2000-11-01,106.194
2000-12-01,106.19962
2001-01-01,106.49335
2001-02-01,107.09403999999999
2001-03-01,108.33493999999999
2001-04-01,109.77023
2001-05-01,110.45024
2001-06-01,111.20353
2001-07-01,111.11606
2001-08-01,111.38946999999999
2001-09-01,111.22103999999999
2001-10-01,111.42603999999999
2001-11-01,111.36899
2001-12-01,111.61885
2002-01-01,111.76328999999998
2002-02-01,111.39806999999999
2002-03-01,112.36733999999998
2002-04-01,113.14244
2002-05-01,113.81221000000001
2002-06-01,113.96153000000001
2002-07-01,113.97663
2002-08-01,114.42267
2002-09-01,114.50356000000001
2002-10-01,114.15161
2002-11-01,113.79526000000001
2002-12-01,113.81996000000001
2003-01-01,113.89493
2003-02-01,113.37912
2003-03-01,112.93243999999999
2003-04-01,113.22311
2003-05-01,113.91383
2003-06-01,114.96261000000001
2003-07-01,115.29413999999998
2003-08-01,115.39148
2003-09-01,115.25655
2003-10-01,114.88703999999998
2003-11-01,114.58538999999999
2003-12-01,114.04661999999999
2004-01-01,113.99536
2004-02-01,113.79515
2004-03-01,113.24766000000001
2004-04-01,114.20496000000001
2004-05-01,115.37063
2004-06-01,116.39771999999999
2004-07-01,116.93388
2004-08-01,117.17607
2004-09-01,116.9752
2004-10-01,116.75703999999999
2004-11-01,116.44936000000001
2004-12-01,116.57966
2005-01-01,116.38918999999999
2005-02-01,116.45745
2005-03-01,117.37315
2005-04-01,118.36502
2005-05-01,119.47166000000001
2005-06-01,120.02775
2005-07-01,120.82903
2005-08-01,121.15007
2005-09-01,121.62156999999999
2005-10-01,121.6638
2005-11-01,122.11283999999999
2005-12-01,122.20398999999999
2006-01-01,121.91083
2006-02-01,121.32848999999999
2006-03-01,121.52173
2006-04-01,122.39961000000001
2006-05-01,123.28627
2006-06-01,124.49855
2006-07-01,125.36724
2006-08-01,125.70066000000001
2006-09-01,125.18592
2006-10-01,124.58129
2006-11-01,123.85171000000001
2006-12-01,123.66966000000001
2007-01-01,122.63606000000001
2007-02-01,122.7292
2007-03-01,123.15619
2007-04-01,124.70646
2007-05-01,125.4936
2007-06-01,126.46739
2007-07-01,126.2979
2007-08-01,126.30715
2007-09-01,125.42228
2007-10-01,124.44771999999999
2007-11-01,122.39308999999999
2007-12-01,120.77807
2008-01-01,118.49403999999998
2008-02-01,117.7591
2008-03-01,119.00628999999999
2008-04-01,120.44292
2008-05-01,121.60333999999999
2008-06-01,122.4946
2008-07-01,123.21077
2008-08-01,123.03715
2008-09-01,122.06423000000001
2008-10-01,120.58656
2008-11-01,118.25391
2008-12-01,115.43881
2009-01-01,112.60498
2009-02-01,112.25766999999999
2009-03-01,112.36108999999999
2009-04-01,114.29693999999999
2009-05-01,116.50346
2009-06-01,119.72946
2009-07-01,121.26288999999998
2009-08-01,121.49877
2009-09-01,120.62665
2009-10-01,119.90985
2009-11-01,119.9567
2009-12-01,118.83345
2010-01-01,117.29445
2010-02-01,115.26581000000002
2010-03-01,115.8238
2010-04-01,118.17714
2010-05-01,119.91623999999999
2010-06-01,121.04087
2010-07-01,120.75475
2010-08-01,119.35893
2010-09-01,117.44474
2010-10-01,116.11164
2010-11-01,114.88219
2010-12-01,114.66703000000001
2011-01-01,114.04325
2011-02-01,113.7843
2011-03-01,112.75775
2011-04-01,113.28027
2011-05-01,114.27635
2011-06-01,115.90149
2011-07-01,116.92138
2011-08-01,117.11197
2011-09-01,116.44223999999998
2011-10-01,115.42153
2011-11-01,113.99558999999999
2011-12-01,113.18091000000001
2012-01-01,112.63033
2012-02-01,112.72138999999999
2012-03-01,114.47638
2012-04-01,116.4207
2012-05-01,118.6002
2012-06-01,120.13666
2012-07-01,121.21355
2012-08-01,121.37818
2012-09-01,121.5624
2012-10-01,120.73863999999999
2012-11-01,120.59551
2012-12-01,120.50621000000001
2013-01-01,120.52825
2013-02-01,120.71903
2013-03-01,122.3093
2013-04-01,125.05181999999999
2013-05-01,127.60936000000001
2013-06-01,129.78901000000002
2013-07-01,131.48233000000002
2013-08-01,132.30445
2013-09-01,132.58745
2013-10-01,132.46442
2013-11-01,132.58258
2013-12-01,132.83697
2014-01-01,132.67138
2014-02-01,133.00006000000002
2014-03-01,134.5501
2014-04-01,136.72981000000001
2014-05-01,138.54965
2014-06-01,140.15288999999999
2014-07-01,141.22097
2014-08-01,142.03619
2014-09-01,142.40273
